,august_diehl,brad_pitt,christoph_waltz,daniel_bruhl,diane_kruger,eli_roth,melanie_laurent,michael_fassbender,omar_doom
0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0
2,0,0,0,0,1,1,0,0,0
3,0,0,0,0,1,1,0,0,0
4,0,0,0,0,1,1,0,0,0
5,0,0,0,0,1,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0
10,0,0,0,0,1,0,0,0,0
11,0,0,0,0,1,0,0,0,0
12,0,0,0,0,1,0,0,0,0
13,0,0,0,0,1,0,0,0,0
14,0,0,0,0,1,0,0,0,0
15,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,1,0,0,0,0
18,0,0,0,0,1,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0
23,0,0,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,1,0,0,0,0
28,0,0,0,0,1,0,0,0,0
29,0,0,0,0,1,0,0,0,0
30,0,0,0,0,1,0,0,0,0
31,0,0,0,0,1,0,0,0,0
32,0,0,0,0,1,0,0,0,0
33,0,0,0,0,1,0,0,0,0
34,0,1,0,0,1,0,0,0,0
35,0,0,0,0,1,0,0,0,0
36,0,0,0,0,1,0,0,0,0
37,0,0,0,0,1,0,0,0,0
38,0,0,0,0,1,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,1,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,1,0,0,1,0,0,0,0
48,0,0,0,0,0,1,0,0,1
49,0,0,0,0,0,1,0,0,1
50,0,0,0,0,0,1,0,0,1
51,0,0,0,0,0,1,0,0,1
52,0,0,0,0,0,1,0,0,1
53,0,0,0,0,0,1,0,0,1
54,0,0,0,0,0,1,0,0,1
55,0,0,0,0,0,1,0,0,1
56,0,0,0,0,0,1,0,0,1
57,0,0,0,0,0,1,0,0,1
58,0,0,0,0,0,1,0,0,1
59,0,0,0,0,0,1,0,0,1
60,0,0,0,0,0,1,0,0,1
61,0,0,0,0,0,1,0,0,1
62,0,0,0,0,0,1,0,0,1
63,0,0,0,0,0,1,0,0,1
64,0,0,0,0,0,1,0,0,1
65,0,0,0,0,0,1,0,0,1
66,0,0,0,0,0,1,0,0,1
67,0,0,0,0,0,1,0,0,1
68,0,0,0,0,0,1,0,0,1
69,0,0,0,0,0,1,0,0,1
70,0,0,0,0,0,1,0,0,1
71,0,0,0,0,0,1,0,0,1
72,0,0,0,0,0,1,0,0,1
73,0,0,0,0,0,1,0,0,1
74,0,0,0,0,0,1,0,0,1
75,0,0,0,0,1,1,0,0,1
76,0,0,0,0,0,1,0,0,1
77,0,0,0,0,0,1,0,0,1
78,0,0,0,0,0,1,0,0,1
79,0,0,0,0,0,1,0,0,1
80,0,0,0,0,0,1,0,0,1
81,0,0,0,0,0,1,0,0,1
82,0,0,0,0,0,1,0,0,0
83,0,0,0,0,0,1,0,0,0
84,0,0,0,0,1,1,0,0,1
85,0,0,0,0,1,1,0,0,1
86,0,0,0,0,0,1,0,0,1
87,0,0,0,0,0,1,0,0,1
88,0,0,0,0,0,1,0,0,0
89,0,0,0,0,1,1,0,0,1
90,0,0,0,0,1,1,0,0,1
91,0,0,1,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0
96,0,0,1,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0
109,0,0,1,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0
113,0,0,0,0,1,1,0,0,1
114,0,0,0,0,0,1,0,0,1
115,0,0,0,0,0,1,0,0,1
116,0,0,0,0,0,1,0,0,1
117,0,0,0,0,0,1,0,0,1
118,0,0,0,0,0,1,0,0,1
119,0,0,0,0,0,1,0,0,1
120,0,0,0,0,0,1,0,0,1
121,0,0,0,0,0,1,0,0,1
122,0,0,0,0,0,1,0,0,1
123,0,0,0,0,1,1,0,0,1
124,0,0,0,0,0,1,0,0,1
125,0,0,0,0,0,1,0,0,1
126,0,0,0,0,1,1,0,0,1
127,0,0,0,0,0,1,0,0,1
128,0,0,0,0,0,1,0,0,1
129,0,0,0,0,0,1,0,0,1
130,0,0,0,0,0,1,0,0,1
131,0,0,0,0,0,1,0,0,1
132,0,0,0,0,0,1,0,0,0
133,0,0,0,0,0,1,0,0,1
134,0,0,0,0,1,1,0,0,1
135,0,0,0,0,0,1,0,0,1
136,0,0,0,0,0,1,0,0,1
137,0,0,0,0,1,1,0,0,1
138,0,0,0,0,0,1,0,0,1
139,0,0,0,0,0,1,0,0,1
140,0,0,0,0,0,1,0,0,1
141,0,0,0,0,1,1,0,0,1
142,0,0,0,0,1,1,0,0,1
143,0,0,0,0,0,1,0,0,1
144,0,0,0,0,0,1,0,0,1
145,0,0,0,0,0,1,0,0,1
146,0,0,0,0,1,1,0,0,1
147,0,0,0,0,1,1,0,0,1
148,0,0,0,0,1,1,0,0,0
149,0,0,0,0,1,1,0,0,1
150,0,0,0,0,0,1,0,0,1
151,0,0,0,0,0,1,0,0,1
152,0,0,0,0,0,1,0,0,1
153,0,0,0,0,0,1,0,0,1
154,0,0,0,0,0,1,0,0,1
155,0,0,0,0,0,1,0,0,1
156,0,0,0,0,0,1,0,0,1
157,0,0,0,0,1,1,0,0,1
158,0,0,0,0,1,1,0,0,1
159,0,0,0,0,1,1,0,0,0
160,0,0,0,0,0,1,0,0,0
161,0,0,0,0,1,1,0,0,0
162,0,0,0,0,1,1,0,0,0
163,0,0,0,0,1,1,0,0,0
164,0,0,0,0,1,1,0,0,0
165,0,0,0,0,1,1,0,0,0
166,0,0,0,0,1,1,0,0,0
167,0,1,0,0,1,0,0,0,0
168,0,1,0,0,1,0,0,0,0
169,0,0,0,0,1,0,0,0,0
170,0,1,0,0,1,0,0,0,0
171,0,1,0,0,1,0,0,0,0
172,0,1,0,0,1,0,0,0,0
173,0,1,0,0,1,0,0,0,0
174,0,1,0,0,1,0,0,0,0
175,0,1,0,0,1,0,0,0,0
176,0,1,0,0,1,0,0,0,0
177,0,1,0,0,1,0,0,0,0
178,0,1,0,0,1,0,0,0,0
179,0,1,0,0,1,0,0,0,0
180,0,1,0,0,1,0,0,0,0
181,0,1,0,0,1,0,0,0,0
182,0,0,0,0,1,1,0,0,1
183,0,0,0,0,1,1,0,0,1
184,0,0,0,0,1,1,0,0,1
185,0,0,0,0,1,1,0,0,1
186,0,0,0,0,1,1,0,0,1
187,0,0,0,0,0,1,0,0,1
188,0,0,0,0,0,1,0,0,0
189,0,0,0,0,0,1,0,0,1
190,0,0,0,0,0,1,0,0,1
191,0,0,0,0,0,1,0,0,1
192,0,0,0,0,1,1,0,0,0
193,0,0,0,0,1,1,0,0,1
194,0,0,0,0,0,1,0,0,1
195,0,0,0,0,0,1,0,0,1
196,0,0,0,0,0,1,0,0,1
197,0,0,0,0,1,1,0,0,1
198,0,0,0,0,0,1,0,0,1
199,0,0,0,0,0,1,0,0,1
200,0,0,0,0,0,1,0,0,1
201,0,0,0,0,0,1,0,0,1
202,0,0,0,0,1,1,0,0,0
203,0,0,0,0,0,1,0,0,1
204,0,0,0,0,1,1,0,0,1
205,0,0,0,0,0,1,0,0,1
206,0,0,0,0,0,1,0,0,1
207,0,0,0,0,0,1,0,0,1
208,0,0,0,0,0,1,0,0,1
209,0,0,0,0,1,1,0,0,1
210,0,0,0,0,0,1,0,0,1
211,0,0,0,0,1,1,0,0,1
212,0,0,0,0,1,1,0,0,0
213,0,0,0,0,1,1,0,0,0
214,0,0,0,0,1,1,0,0,1
215,0,0,0,0,1,1,0,0,0
216,0,1,0,0,1,0,0,0,0
217,0,1,0,0,1,0,0,0,0
218,0,1,0,0,1,0,0,0,0
219,0,1,0,0,1,0,0,0,0
220,0,1,0,0,1,0,0,0,0
221,0,1,0,0,1,0,0,0,0
222,0,0,0,0,1,0,0,0,0
223,0,0,0,0,0,1,0,0,1
224,0,0,0,0,0,1,0,0,1
225,0,0,0,0,0,1,0,0,1
226,0,0,0,0,0,1,0,0,1
227,0,0,0,0,1,1,0,0,0
228,0,0,0,0,1,1,0,0,1
229,0,0,0,0,1,1,0,0,1
230,0,0,0,0,1,1,0,0,1
231,0,0,0,0,1,1,0,0,0
232,0,0,0,0,1,1,0,0,0
233,0,0,0,0,0,1,0,0,0
234,0,0,0,0,1,1,0,0,0
235,0,0,0,0,0,1,0,0,1
236,0,0,0,0,0,1,0,0,0
237,0,0,0,0,0,1,0,0,1
238,0,0,0,0,0,1,0,0,1
239,0,0,0,0,0,1,0,0,1
240,0,0,0,0,0,1,0,0,1
241,0,0,0,0,0,1,0,0,1
242,0,0,1,0,0,1,0,0,1
243,0,0,1,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0
245,0,0,1,0,0,0,0,0,0
246,0,0,1,0,0,0,0,0,0
247,0,0,1,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0
251,0,0,0,0,1,0,0,0,0
252,0,0,0,0,0,0,0,0,0
253,0,0,0,0,1,0,0,0,0
254,0,0,0,0,1,0,0,0,0
255,0,0,0,0,1,0,0,0,0
256,0,0,0,0,1,0,0,0,0
257,0,0,0,0,1,0,0,0,0
258,0,0,0,0,1,0,0,0,0
259,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0
270,0,0,0,0,1,1,0,0,1
271,0,0,0,0,0,1,0,0,1
272,0,0,0,0,0,1,0,0,0
273,0,0,0,0,0,1,0,0,1
274,0,0,0,0,0,1,0,0,1
275,0,0,0,0,0,1,0,0,1
276,0,0,0,0,0,1,0,0,0
277,0,0,0,0,0,1,0,0,1
278,0,0,0,0,0,1,0,0,1
279,0,0,0,0,0,1,0,0,1
280,0,0,0,0,0,1,0,0,1
281,0,0,0,0,0,1,0,0,1
282,0,0,0,0,0,1,0,0,1
283,0,0,0,0,0,1,0,0,1
284,0,0,0,0,1,1,0,0,1
285,0,0,0,0,1,1,0,0,0
286,0,0,0,0,1,1,0,0,1
287,0,0,0,0,0,1,0,0,1
288,0,0,0,0,0,1,0,0,1
289,0,0,0,0,0,1,0,0,1
290,0,0,0,0,1,0,0,0,1
291,0,0,0,0,1,0,0,0,1
292,0,0,0,0,1,0,0,0,0
293,0,0,0,0,1,0,0,0,0
294,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0
